radiant_team,dire_team,radiant_win
"74,67,23,21,101","26,1,104,75,86",false
"53,92,21,97,95","68,60,41,76,27",false
"83,39,84,41,48","119,101,75,81,63",true
"55,89,35,81,30","27,70,84,50,97",false
"93,106,36,40,119","114,121,27,14,75",false
"48,14,26,29,74","60,53,43,86,93",true
"121,48,28,71,27","126,104,19,13,68",true
"7,74,75,104,54","67,105,99,39,28",true
"22,100,67,104,87","11,71,99,135,41",false
"41,45,96,84,14","86,22,99,104,48",true
"40,64,2,48,14","60,53,17,101,41",false
"45,14,41,106,107","53,7,63,59,67",true
"126,138,101,26,60","86,71,74,95,48",false
"84,51,13,28,1","109,82,54,53,9",false
"119,67,2,75,76","53,88,104,54,29",false
"53,25,51,8,56","40,98,83,41,114",true
"26,36,96,40,70","101,41,28,104,121",false
"137,5,35,113,86","100,96,34,93,87",true
"41,32,11,7,88","26,22,59,35,8",false
"81,35,135,27,58","14,72,42,17,30",true
"88,30,6,28,104","26,37,10,74,89",true
"84,30,44,47,104","37,53,106,64,94",true
"101,69,39,62,16","105,28,71,1,86",true
"75,49,2,53,67","42,54,13,30,123",true
"97,72,12,1,28","86,121,102,42,70",true
"14,47,66,109,138","53,34,50,81,44",true
"26,34,104,83,12","138,30,29,46,102",true
"71,62,96,48,113","54,39,7,36,129",false
"11,74,27,41,64","63,14,42,28,83",true
"55,9,13,50,12","57,42,71,21,35",false
"30,74,42,35,104","1,36,64,62,14",true
"1,26,71,29,80","67,28,36,84,31",true
"40,102,26,52,23","22,85,128,62,103",false
"80,12,30,75,2","114,50,56,121,7",true
"93,119,7,76,102","1,50,35,84,73",false
"42,36,104,123,30","71,28,93,72,14",true
"20,30,10,80,96","14,99,74,48,114",true
"83,41,135,64,84","121,71,119,76,67",true
"26,60,12,14,42","8,72,17,23,27",true
"54,97,80,9,41","83,98,29,85,44",false
"35,109,51,27,2","105,69,5,8,36",false
"71,85,47,74,48","2,63,128,8,22",true
"14,41,72,43,58","51,119,138,99,39",false
"74,1,123,60,23","50,96,13,12,27",true
"40,103,47,12,68","7,93,36,14,25",true
"43,84,67,121,80","36,104,8,11,119",true
"121,104,22,1,43","26,12,28,88,13",true
"83,56,37,110,35","50,85,42,22,104",false
"97,35,8,84,75","93,28,36,71,14",false
"93,104,80,48,86","35,4,71,84,22",false
"21,84,95,85,14","27,4,23,64,11",false
"102,50,71,123,138","41,86,30,61,60",false
"40,45,81,67,14","104,138,101,27,59",true
"42,4,45,27,56","21,110,93,96,30",true
"84,137,11,50,67","1,85,81,101,22",false
"36,5,71,77,67","121,48,75,64,104",true
"64,98,31,58,23","62,70,67,30,54",false
"75,44,110,2,88","135,99,70,46,50",true
"26,2,104,31,35","50,71,54,78,39",false
"14,35,135,31,67","84,28,62,6,104",true
"76,40,53,121,67","51,44,111,7,74",true
"36,87,75,35,62","5,86,25,28,32",true
"57,84,51,22,138","85,99,1,11,37",false
"17,51,100,135,12","28,121,44,26,36",true
"54,107,74,45,14","60,1,21,53,34",true
"123,26,44,104,30","84,62,100,101,106",true
"31,62,6,2,96","44,51,13,64,7",false
"14,50,70,135,30","17,33,28,114,35",false
"35,67,37,64,77","126,30,54,11,96",true
"84,40,96,76,12","75,128,104,22,72",false
"80,63,67,71,112","41,87,60,39,25",true
"4,70,97,34,86","14,74,51,18,77",true
"71,22,67,35,64","48,31,123,17,16",true
"95,85,121,29,25","80,104,135,67,40",true
"112,96,44,76,53","72,97,19,40,30",true
"2,35,12,69,5","28,48,36,101,7",true
"36,29,30,119,67","86,83,109,104,7",true
"5,44,53,56,42","35,96,75,121,67",false
"88,97,53,37,44","121,12,2,84,50",true
"138,100,104,41,136","28,35,64,114,45",false
"42,28,36,58,121","67,26,126,101,100",true
"26,57,70,19,101","62,36,41,31,11",false
"119,49,17,48,54","41,33,64,137,76",false
"14,4,64,25,62","28,86,44,83,31",false
"38,111,50,22,67","13,75,99,1,84",false
"70,97,64,41,26","8,37,42,76,75",false
"104,121,11,138,30","64,63,96,113,67",false
"120,36,1,48,21","80,138,37,28,121",false
"93,28,25,50,123","84,75,94,88,67",true
"60,53,114,138,71","80,63,39,11,28",true
"2,9,14,113,63","77,26,7,36,4",false
"53,64,63,113,28","67,101,15,136,14",true
"22,27,81,2,83","71,119,39,6,30",true
"44,11,30,137,73","46,7,110,29,123",true
"1,21,25,36,30","60,83,95,48,85",false
"7,12,25,84,36","11,114,9,40,71",true
"13,10,137,40,28","12,59,7,75,8",true
"84,108,71,1,59","67,88,8,81,30",false
"67,42,72,35,53","107,56,121,44,104",true
"12,7,22,86,84","104,121,26,79,56",false
"44,88,101,104,111","64,107,67,26,60",true
"25,75,81,23,71","69,35,50,79,86",true
"138,5,84,36,67","76,28,112,12,68",false
"39,104,72,14,10","45,67,81,41,71",true
"114,123,77,100,35","87,129,10,62,17",true
"128,96,68,10,12","2,1,37,27,74",false
"73,26,96,9,17","60,30,54,98,53",false
"78,88,70,53,39","43,52,83,119,63",false
"67,135,37,40,76","53,30,41,54,96",true
"29,25,114,138,31","28,44,35,85,75",true
