match_id,radiant_team,dire_team,radiant_win
7479561214,"68,36,76,8,93","62,44,84,75,49",true
7479561105,"41,128,2,79,76","71,104,47,63,83",false
7479561103,"93,13,43,60,14","71,63,23,137,41",true
7479561019,"77,97,2,23,138","29,52,26,51,41",false
7479561014,"84,48,2,51,76","14,101,30,22,41",true
7479561013,"23,26,22,114,63","99,93,71,13,68",true
7479561010,"67,114,28,62,87","5,44,126,84,104",true
7479561009,"80,42,63,45,123","73,31,126,119,35",false
7479560914,"50,84,2,114,67","28,53,63,126,30",true
7479560913,"53,101,67,30,28","11,106,114,87,51",false
7479560912,"80,93,22,26,36","75,20,17,99,48",false
7479560911,"83,18,104,39,28","74,80,102,5,34",false
7479560910,"30,129,89,64,45","62,14,36,21,28",false
7479560907,"50,67,83,86,59","21,104,20,35,121",false
7479560808,"9,79,54,68,42","83,48,22,15,36",false
7479560806,"121,53,42,128,56","73,31,85,35,36",false
7479560805,"45,54,92,109,42","14,48,23,87,60",true
7479560707,"135,1,26,76,101","25,7,32,53,42",false
7479560704,"86,22,67,60,101","30,137,26,25,70",true
7479560703,"48,31,19,98,14","61,26,95,29,92",false
7479560604,"49,75,73,27,99","63,86,74,2,26",false
7479560502,"31,47,12,100,42","1,39,7,120,53",false
7479560415,"71,119,6,30,39","10,75,14,72,74",true
7479560414,"18,30,93,16,9","75,1,23,62,105",true
7479560412,"8,76,45,88,22","51,36,110,86,1",true
7479560409,"62,42,54,22,64","2,26,72,41,17",true
7479560315,"41,91,71,42,25","4,80,53,68,99",true
7479560312,"36,135,101,87,1","30,113,37,95,28",false
7479560311,"135,37,27,44,2","99,36,21,121,54",true
7479560209,"14,88,76,67,36","52,26,137,20,48",false
7479560206,"71,40,56,74,83","23,22,99,41,7",true
7479560205,"45,42,29,36,30","31,99,21,34,95",true
7479560204,"13,138,84,88,7","42,37,81,68,17",false
7479560119,"70,67,27,101,28","64,104,14,99,1",false
7479560100,"102,128,138,93,104","76,5,41,36,50",true
7479560018,"70,50,104,76,87","1,137,53,52,138",true
7479560017,"71,7,106,114,30","63,104,53,13,31",false
7479560002,"25,46,57,3,42","62,40,44,76,7",true
7479559916,"50,8,6,42,97","2,71,93,14,84",true
7479559910,"26,2,86,54,13","84,75,28,99,41",true
7479559907,"75,72,50,40,96","70,135,83,35,39",true
7479559819,"53,25,1,121,59","2,44,45,5,35",true
7479559818,"89,68,28,84,23","1,21,96,26,25",true
7479559815,"97,104,30,101,12","120,100,31,1,137",true
7479559812,"88,30,93,59,97","26,14,9,15,70",true
7479559708,"64,36,49,14,35","19,5,84,99,44",true
7479559707,"2,76,26,88,1","71,138,9,67,40",false
7479559705,"8,7,128,37,36","35,121,137,42,22",false
7479559603,"14,48,11,37,71","55,44,64,82,50",true
7479559600,"35,52,129,26,85","137,62,76,109,58",false
7479559516,"5,86,14,76,12","97,64,121,42,44",false
7479559511,"68,23,28,44,72","11,67,63,30,50",true
7479559419,"138,13,105,74,104","64,28,25,1,27",true
7479559416,"28,45,82,30,35","74,48,67,22,96",false
7479559414,"53,99,11,63,123","93,40,137,26,74",true
7479559413,"68,92,25,84,63","60,30,14,11,104",false
7479559412,"53,43,35,32,11","41,75,65,95,92",false
7479559303,"64,59,48,99,138","25,128,75,67,23",true
7479559301,"18,97,45,39,63","88,41,59,22,20",false
7479559214,"76,6,28,14,21","3,71,39,35,104",false
7479559213,"36,84,12,19,46","8,88,28,60,75",true
7479559116,"67,59,37,111,137","41,30,121,28,2",true
7479559007,"64,16,6,42,37","27,84,21,70,85",true
7479559004,"22,14,41,29,75","112,42,35,53,81",false
7479559002,"137,28,71,87,45","4,35,97,73,30",false
7479559000,"59,104,8,72,64","25,5,29,50,12",false
7479558919,"84,26,4,2,128","121,14,42,67,25",false
7479558916,"63,104,71,7,36","138,33,105,12,68",true
7479558915,"42,67,75,83,76","101,74,81,32,108",true
7479558914,"35,135,50,89,71","74,100,48,53,28",true
7479558910,"93,31,27,22,97","5,21,42,71,62",true
7479558908,"104,35,31,21,13","22,106,45,32,40",true
7479558906,"1,11,108,22,3","95,101,71,119,36",true
7479558905,"75,104,71,106,114","113,14,47,25,99",true
7479558817,"42,63,123,59,27","74,14,83,20,12",true
7479558803,"71,120,95,96,83","84,46,23,5,28",false
7479558718,"28,67,136,31,49","53,8,36,71,55",true
7479558717,"54,96,46,86,39","23,64,109,22,71",true
7479558700,"56,83,63,42,4","138,71,107,44,14",true
7479558619,"84,67,55,48,135","12,14,45,36,26",false
7479558618,"14,99,16,85,67","90,41,93,27,49",true
7479558605,"14,12,5,76,7","4,50,68,102,25",true
7479558604,"1,11,7,129,62","30,105,41,78,137",true
7479558602,"64,119,1,79,14","67,37,45,84,101",true
7479558600,"48,62,58,97,30","74,72,63,95,14",true
7479558518,"42,27,6,22,57","84,67,82,23,69",true
7479558517,"123,7,72,42,30","21,11,93,78,31",true
7479558514,"14,28,68,7,12","18,27,73,57,102",false
7479558417,"113,15,44,62,53","35,30,138,22,104",false
7479558415,"54,80,13,51,75","50,87,8,36,14",false
7479558413,"54,14,35,84,22","74,2,68,45,53",true
7479558318,"26,50,38,48,14","101,80,28,65,7",true
7479558314,"34,26,75,28,44","46,53,71,35,48",false
7479558308,"11,70,26,102,7","56,101,30,44,42",true
7479558307,"41,83,113,42,37","54,22,45,43,135",true
7479558212,"14,28,89,22,121","74,11,7,123,83",true
7479558208,"42,121,37,48,36","28,1,26,74,13",true
7479558207,"85,48,29,35,37","80,71,86,22,44",true
7479558205,"33,67,30,45,49","80,11,83,84,42",false
7479558112,"114,39,85,121,71","14,1,42,30,76",false
7479558111,"120,53,48,27,97","114,94,84,34,28",true
7479558109,"6,30,71,14,95","98,94,90,81,75",true
7479558108,"30,28,44,16,107","42,119,86,25,48",true
7479558107,"34,20,91,70,104","137,30,36,35,67",true
7479558105,"19,67,23,88,71","96,11,6,87,119",false
7479558104,"51,32,93,126,50","58,67,22,27,89",false
7479558017,"119,42,56,63,2","75,32,94,83,28",false
7479558013,"51,113,121,26,35","56,110,11,48,45",true
7479558011,"22,14,12,49,30","41,76,86,40,28",true
7479557918,"86,50,53,71,48","84,110,26,120,41",false
7479557917,"6,138,14,73,121","101,27,21,8,47",true
7479557916,"14,57,67,105,62","39,42,93,74,123",false
7479557915,"73,67,99,25,85","119,42,54,20,86",false
7479557902,"37,26,63,15,84","36,112,41,14,42",true
7479557901,"104,20,53,62,71","119,50,135,32,11",true
7479557900,"48,35,20,83,104","26,14,93,121,10",true
7479557811,"41,101,7,74,42","63,54,17,26,60",true
7479557809,"22,14,11,81,121","63,80,31,71,30",true
7479557808,"56,63,100,36,83","28,102,32,12,121",false
7479557806,"66,63,114,34,83","33,137,93,92,19",false
7479557803,"50,64,35,81,8","88,63,84,7,105",false
7479557802,"95,50,84,137,68","36,71,15,90,75",false
7479557801,"12,45,71,22,96","47,14,30,5,44",true
7479557800,"41,104,27,63,86","31,80,53,99,35",false
7479557712,"36,42,30,64,44","28,27,25,35,83",true
7479557711,"84,62,35,36,12","74,14,30,135,104",false
7479557705,"28,64,31,39,67","32,36,104,72,102",false
7479557607,"40,28,26,90,67","104,76,42,6,72",true
7479557606,"61,111,86,135,41","30,110,42,36,48",true
7479557602,"32,90,72,26,30","14,62,42,37,48",false
7479557513,"54,128,1,27,74","110,2,41,30,17",false
7479557512,"1,123,14,75,126","30,65,85,74,67",true
7479557504,"28,14,44,137,83","98,22,31,30,136",true
7479557502,"91,41,59,44,40","33,68,120,105,93",false
7479557410,"98,30,67,36,45","72,83,71,28,63",true
7479557408,"14,39,72,36,37","35,7,86,4,54",true
7479557406,"10,76,14,20,50","70,100,30,126,2",true
7479557403,"21,121,102,40,12","62,84,48,126,14",true
7479557402,"51,42,27,48,73","46,18,123,75,71",false
7479557305,"64,97,54,45,36","14,87,80,62,95",true
7479557304,"50,41,21,20,6","57,72,68,42,39",false
7479557302,"95,75,99,22,68","101,53,1,71,5",true
7479557206,"114,81,91,136,123","30,14,27,97,1",true
7479557204,"138,14,135,6,20","54,100,26,81,36",true
7479557201,"92,74,8,35,71","95,31,1,88,100",true
7479557200,"67,80,74,86,84","93,75,85,36,137",false
7479557111,"14,87,98,54,67","53,71,35,93,70",false
7479557106,"137,44,102,20,108","114,14,59,64,30",true
7479557102,"62,60,76,30,32","89,84,64,39,86",true
7479557019,"39,72,8,64,60","85,104,11,10,7",true
7479557018,"86,34,93,71,30","21,121,91,104,88",false
7479557017,"71,84,28,128,8","88,30,35,6,2",false
7479557012,"48,68,23,88,137","11,138,26,28,77",true
7479557002,"39,62,136,110,12","72,48,36,97,81",true
7479557001,"30,104,20,108,54","62,44,11,113,111",true
7479556914,"26,119,29,46,61","16,53,76,128,48",true
7479556913,"71,80,86,114,11","7,97,135,64,8",false
7479556909,"14,15,5,92,47","28,93,135,50,75",false
7479556907,"14,75,7,72,67","35,53,42,87,73",false
7479556810,"106,71,42,64,48","53,28,104,67,29",true
7479556803,"44,39,104,26,22","23,32,5,77,54",false
7479556719,"86,29,64,63,72","91,70,71,53,97",false
7479556718,"121,44,52,86,60","50,30,23,25,67",true
7479556717,"44,36,110,64,104","46,14,12,50,2",false
7479556714,"22,12,53,50,7","32,80,83,45,6",true
7479556712,"39,99,36,75,1","93,48,14,50,110",false
7479556710,"32,54,84,70,58","35,21,19,47,7",false
